DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.246,0.082,0,-0.164,0.082,-0.03,0.051,0.122,0.204
202209140100,0.22,0.04,0.03,-0.211,0.04,-0.03,-0.021,0.122,0.131
202209140200,0.18,-0.006,0.03,-0.216,-0.006,-0.03,-0.067,0.122,0.086
202209140300,0.136,-0.073,0.03,-0.24,-0.073,-0.03,-0.134,0.091,-0.012
202209140400,0.101,-0.104,0.03,-0.235,-0.104,-0.03,-0.165,0.122,-0.012
202209140500,0.084,-0.098,0.03,-0.213,-0.098,-0.03,-0.159,0.122,-0.006
202209140600,0.092,-0.082,0.061,-0.235,-0.082,0,-0.143,0.122,-0.021
202209140700,0.125,-0.034,0.03,-0.189,-0.034,0,-0.064,0.122,0.058
202209140800,0.175,0.021,0.03,-0.185,0.021,0,-0.01,0.122,0.112
202209140900,0.233,0.073,0.061,-0.221,0.073,0,0.012,0.122,0.134
202209141000,0.285,0.125,0.061,-0.222,0.125,0,0.064,0.122,0.186
202209141100,0.321,0.155,0.03,-0.197,0.155,0,0.124,0.122,0.246
202209141200,0.332,0.158,0.03,-0.205,0.158,-0.03,0.097,0.091,0.219
202209141300,0.318,0.125,0.03,-0.224,0.125,-0.03,0.064,0.091,0.186
202209141400,0.283,0.107,0.03,-0.206,0.107,-0.03,0.046,0.091,0.168
202209141500,0.236,0.061,0,-0.175,0.061,-0.061,0,0.091,0.152
202209141600,0.188,0.024,0,-0.164,0.024,-0.061,-0.037,0.091,0.115
202209141700,0.152,0.012,0,-0.14,0.012,-0.061,-0.049,0.091,0.103
202209141800,0.134,-0.003,0,-0.136,-0.003,-0.061,-0.064,0.061,0.058
202209141900,0.136,0.012,0,-0.124,0.012,-0.03,-0.019,0.061,0.073
202209142000,0.157,0.027,0,-0.13,0.027,-0.061,-0.034,0.061,0.088
202209142100,0.187,0.055,0,-0.132,0.055,-0.061,-0.006,0.061,0.116
202209142200,0.216,0.091,0,-0.126,0.091,-0.061,0.03,0.061,0.152
202209142300,0.236,0.073,0,-0.163,0.073,-0.061,0.012,0.061,0.134
202209150000,0.239,0.076,0,-0.163,0.076,-0.03,0.045,0.061,0.137
202209150100,0.223,0.058,0,-0.165,0.058,-0.03,0.027,0.061,0.119
202209150200,0.191,-0.021,0,-0.212,-0.021,-0.061,-0.082,0.061,0.04
202209150300,0.151,-0.03,0,-0.181,-0.03,-0.03,-0.06,0.061,0.031
202209150400,0.115,-0.125,0,-0.24,-0.125,-0.061,-0.186,0.061,-0.064
202209150500,0.091,-0.149,0,-0.24,-0.149,-0.061,-0.21,0.091,-0.057
202209150600,0.088,-0.143,0.03,-0.261,-0.143,0,-0.173,0.091,-0.082
202209150700,0.106,-0.085,0.03,-0.221,-0.085,0,-0.115,0.091,-0.024
202209150800,0.144,-0.049,0.03,-0.223,-0.049,0,-0.079,0.091,0.012
202209150900,0.193,0.052,0.03,-0.172,0.052,0,0.021,0.091,0.113
202209151000,0.243,0.082,0.03,-0.192,0.082,0,0.051,0.091,0.143
