StationName,TideStationID,Latitude,Longitude,NAVD88,MLLW,MLW,MTL,MSL,MHW,MHHW,TWL,TWL_GMT
Adak Island,9461380,51.8614151,-176.6411366,0.282,0,0.172,0.613,0.65,1.055,1.131,1.18,2.02209E+11
"Akutan, Alaska",9462694,54.13311359,-165.7769667,-0.029,0,0.274,0.659,0.661,1.044,1.138,1.129,2.02209E+11
Alitak,9457804,56.89723175,-154.2450034,0.863,0,0.479,1.905,1.882,3.332,3.576,3.943,2.02209E+11
Anchorage,9455920,61.23351018,-149.887811,3.259,0,0.685,4.676,5.02,8.667,8.889,9.641,2.02209E+11
Atka,9461710,52.23517821,-174.1791632,0.264,0,0.157,0.566,0.599,0.975,1.042,1.02,2.02209E+11
Barrow Offshore,9494935,71.32378253,-156.6645099,-0.823,0,0.018,0.092,0.094,0.166,0.202,0.594,2.02209E+11
Barter Island,9499176,70.12821277,-143.6073885,-1.02,0,0.009,0.08,0.085,0.151,0.184,0.586,2.02209E+11
"Cape Espenberg, Kotzebue Sound",9490096,66.58569961,-164.2506926,NaN,0,0.05,0.16,0.159,0.27,0.302,1.793,2.02209E+11
Cape Krusenstern,9490571,67.06262987,-163.2992853,-0.959,0,0.037,0.111,0.071,0.184,0.201,1.706,2.02209E+11
"CLARKS POINT, NUSHAGAK BAY",9465261,58.84318411,-158.5544754,2.295,0,0.812,3.285,3.343,5.757,6.301,6.524,2.02209E+11
Cold Bay,9459949,55.20833333,-162.6983333,NaN,0,0.408,1.228,1.216,2.048,2.262,2.299,2.02209E+11
Cordova,9454050,60.55759854,-145.7556817,0.638,0,0.459,2.009,2.056,3.558,3.838,4.245,2.02209E+11
CRAIG,9450551,55.48941466,-133.1386381,0.257,0,0.418,1.63,1.627,2.842,3.101,3.11,2.02209E+11
Dago Creek Mouth Ugashik,9464512,57.615,-157.6,0.94,0,0.507,2.092,2.097,3.676,4.132,4.202,2.02209E+11
Dall Point,9466931,61.53061155,-166.1475733,-0.703,0,0.113,0.628,0.561,1.143,1.358,4.138,2.02209E+11
Deering,9469751,66.09542184,-162.7550656,-0.896,0,0.085,0.291,0.292,0.497,0.557,1.532,2.02209E+11
Eastern Nunivak Island,9466012,60.04355609,-165.6792907,0.197,0,0.216,1.148,1.151,2.079,2.214,3.624,2.02209E+11
Egegik,9464874,58.21666667,-157.375,0.998,0,0.467,2.308,2.251,4.148,4.64,4.686,2.02209E+11
Elfin Cove,9452634,58.1947181,-136.3469205,0.305,0,0.445,1.765,1.747,3.084,3.354,3.48,2.02209E+11
"False Pass, Unimak Island",9462955,54.85388614,-163.4134389,-0.124,0,0.263,0.72,0.745,1.177,1.267,1.161,2.02209E+11
Goodhope Bay,9469833,66.2,-163.9033333,NaN,0,0.062,0.27,0.268,0.477,0.514,1.567,2.02209E+11
Juneau,9452210,58.29993878,-134.4144304,1.119,0,0.488,2.582,2.617,4.676,4.971,5.28,2.02209E+11
Ketchikan,9450460,55.33296173,-131.6255055,1.135,0,0.479,2.456,2.458,4.432,4.708,5.04,2.02209E+11
Kinak Bay,9465953,59.94714017,-164.2096864,0.435,0,0.358,1.393,1.451,2.428,2.862,4.537,2.02209E+11
King Cove,9459881,55.05935019,-162.3236661,0.163,0,0.404,1.138,1.124,1.872,2.081,2.127,2.02209E+11
"Kipnuk, Kuguklik River",9465951,59.94333333,-164.0433333,0.163,0,0.258,1.178,1.242,2.098,2.525,4.316,2.02209E+11
